i,j,ba,mcc,auc,Sensitivity,Specificity,f1,pos_LR,ppv,average_precision_score
3,3,0.888167701863354,0.776413485317819,0.966603076013014,0.8834782608695653,0.8928571428571429,0.8898305084745762,8.245797101449279,0.8868243243243243,0.9689597049411814
3,5,0.6276718484333252,0.2614478800311252,0.6406060238037407,0.39664804469273746,0.8586956521739131,0.5663082437275987,2.8070477009024506,0.42245989304812837,0.41476456279825064
3,6,0.5614960785369443,0.12252575848516639,0.5467614278791795,0.543046357615894,0.5799457994579946,0.5936199722607489,1.2928006836146124,0.6079545454545454,0.5733304608040563
3,7,0.6323834747140238,0.24519315052683238,0.6612731414254815,0.5284697508896797,0.7362971985383678,0.7759948652118099,2.0040354063761066,0.8202170963364993,0.8223545607576472
3,8,0.5718268201671921,0.14653209528820155,0.5824968904573198,0.3687845303867403,0.774869109947644,0.5215859030837003,1.6380894256713352,0.3930942895086321,0.4509420992230093
3,11,0.6885142810775722,0.3762280517021018,0.7398369036027265,0.6751054852320675,0.7019230769230769,0.6774941995359629,2.264870014972097,0.6547085201793722,0.670113465843856
3,14,0.6325444983818771,0.2643415137139866,0.6410194174757281,0.6359223300970874,0.6291666666666667,0.648068669527897,1.7148467328460784,0.668141592920354,0.642553628288324
3,15,0.6686128965374248,0.2456041721510309,0.6741064450788689,0.7305494505494505,0.6066763425253991,0.3583369052721818,1.8573748023194518,0.2542579075425791,0.24116837937366858
3,16,0.5235928018413893,0.0725237228492191,0.43272651182255706,0.923728813559322,0.12345679012345678,0.18348623853211007,1.0538314633564096,0.35714285714285715,0.24670999960126883
5,3,0.5595933155871045,0.12126943331723605,0.5571413782904466,0.4678260869565217,0.6513605442176871,0.5998433829287392,1.341862142099682,0.555878084179971,0.5514431346453699
5,5,0.9463656788923973,0.885978295029144,0.9921362642700995,0.952513966480447,0.9402173913043478,0.9251336898395721,15.932960893854737,0.9105263157894737,0.9854015240757519
5,6,0.6069294136649975,0.22416129293481177,0.5744360092607549,0.7748344370860927,0.43902439024390244,0.5409015025041736,1.3812266052404258,0.7043478260869566,0.6690238255320411
5,7,0.5480015257844569,0.1046801034961608,0.5481743685549694,0.8718861209964412,0.2241169305724726,0.3535062439961576,1.1237339173282235,0.8363636363636363,0.7964657579159357
5,8,0.6084217986173382,0.2091304383449193,0.6260811084434932,0.49171270718232046,0.725130890052356,0.5394352482960078,1.788897658510918,0.4294573643410853,0.46464411849807447
5,11,0.5814569133398247,0.17139895954637177,0.601488964621876,0.4177215189873418,0.7451923076923077,0.6187624750499002,1.6393599235729641,0.5290102389078498,0.5662474188403737
5,14,0.528883495145631,0.059434954318056066,0.5051779935275081,0.4077669902912621,0.65,0.6023166023166023,1.1650485436893203,0.5611510791366906,0.5391977448213071
5,15,0.5625730872900684,0.08530007357777877,0.56300897940956,0.5808791208791209,0.5442670537010159,0.2524402558061259,1.2746041856232937,0.16432953549517967,0.1667550932230047
5,16,0.5360954174513497,0.07843868927169724,0.4976459510357815,0.22033898305084745,0.8518518518518519,0.41317365269461076,1.4872881355932204,0.2727272727272727,0.250639243511227
