protonated_Standardized_SMILES,median pMolar total plasma concentration,median pMolar unbound plasma concentration
CC(C(=O)[O-])c1ccc(-c2ccccc2)c(F)c1,4.211761093707362,6.211761093707362
CC(C(=O)[O-])c1ccc(C(=O)c2ccccc2)s1,3.8134308608435066,5.637339601787825
CC(C(=O)[O-])c1ccc2oc(-c3ccc(Cl)cc3)nc2c1,3.780648488426736,5.9882567989284885
CC(C(=O)[O-])c1cccc(C(=O)c2ccccc2)c1,4.470713421937388,6.201209299146951
CC(C(=O)[O-])c1cccc(Oc2ccccc2)c1,3.606148388924741,5.305118393260759
CC(C)(C(=O)[O-])c1ccc(C(O)CCC[NH+]2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,6.4193847636305055,6.527290160940026
CC(C)(C)C(O)C=Cc1ccc2c(c1)OCO2,4.369753752372034,
CC(C)(C)NC(=O)C1CC2CCCCC2C[NH+]1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,6.30549381415311,7.85833578281089
CC(C)(C)NC(=O)C1CCC2C3CCC4NC(=O)C=CC4(C)C3CCC12C,7.571184567733605,8.593460962444757
CC(C)(C)NC(=O)C1C[NH+](Cc2cccnc2)CC[NH+]1CC(O)CC(Cc1ccccc1)C(=O)NC1c2ccccc2CC1O,5.147545447125382,5.578640032142504
CC(C)(C)[NH2+]CC(O)COc1cccc2c1CC(O)C(O)C2,6.092594337131638,6.9464663014534
CC(C)(C)[NH2+]CC(O)COc1cccc2c1CCC(=O)N2,6.465947661764938,
CC(C)(C)[NH2+]CC(O)COc1ccccc1C1CCCC1,5.46454915823386,
CC(C)(C)[NH2+]CC(O)COc1nsnc1N1CCOCC1,6.500277651237841,6.546035141798516
CC(C)(C)[NH2+]CC(O)c1cc(Cl)c(N)c(Cl)c1,8.664641975556126,
CC(C)(C)[NH2+]CC(O)c1cc(O)cc(O)c1,7.352741915020753,7.477680651629053
CC(C)(C)[NH2+]CC(O)c1ccc(O)c(CO)c1,7.077930851106911,7.114143023761356
CC(C)(C)c1ccc(C(O)CCC[NH+]2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,7.673656669141918,9.615288257061716
CC(C)(O)c1ccccc1CCC(SCC1(CC(=O)[O-])CC1)c1cccc(C=Cc2ccc3ccc(Cl)cc3n2)c1,6.165985822774454,8.864955827110473
CC(C)(ON=C(C(=O)NC1C(=O)[NH+]2C(C(=O)[O-])=C(C[n+]3ccccc3)CSC12)c1csc(=N)[nH]1)C(=O)[O-],3.4154423871698385,3.517815295879397
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)[O-],4.382413313126267,
CC(C)([NH3+])Cc1ccccc1,6.173885240368792,
CC(C)=CC[NH+]1CCC2(C)c3cc(O)ccc3CC1C2C,6.154469621852342,6.563405014825842
CC(C)=c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1=CCC(O)CC(O)CC(=O)[O-],8.021775909192346,8.942594663144721
CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,5.764545788246281,6.986394537862637
CC(C)CC(C[NH3+])CC(=O)[O-],4.298934908112094,
CC(C)CC(NC(=O)C(CCc1ccccc1)NC(=O)C[NH+]1CCOCC1)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(C)C)C(=O)C1(C)CO1,5.34761137352467,7.005188692702464
CC(C)CC([NH+](C)C)C1(c2ccc(Cl)cc2)CCC1,7.446940829796355,
